_id,順位,選手名,チーム,防御率,試合,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
189,1,レグナルト,広島,0.46,35,4,0,0,13,1,165,39.1,25,1,22,0,42,5,2,1.19,2.61
50,3,田中　靖洋,ロッテ,1.03,28,4,0,0,2,1,103,26.1,20,1,8,2,17,3,3,1.06,3.35
128,4,モイネロ,ソフトバンク,1.06,35,0,1,3,18,0,133,34,18,2,11,4,49,7,4,0.85,2.33
73,5,藤川　球児,阪神,1.26,28,4,0,0,16,1,119,28.2,13,2,22,0,44,4,4,1.22,3.05
166,6,中川　皓太,巨人,1.27,34,2,1,10,8,0.667,139,35.1,28,0,6,1,40,6,5,0.96,1.45
332,7,山﨑　康晃,DeNA,1.33,28,1,1,15,0,0.5,114,27,23,1,10,0,23,9,4,1.22,2.79
319,8,増田　達至,西武,1.47,33,3,1,12,5,0.75,143,36.2,26,2,5,0,32,7,6,0.85,2.41
450,9,ドリス,阪神,1.65,33,3,3,14,5,0.5,122,32.2,17,1,8,1,30,9,6,0.77,2.42
252,9,中村　恭平,広島,1.65,23,0,1,0,6,0,105,27.1,17,1,8,0,36,5,5,0.91,1.73
170,11,山本　由伸,オリックス,1.66,12,4,3,0,0,0.571,334,86.2,58,5,22,3,79,20,16,0.92,2.91
195,12,秋吉　亮,日本ハム,1.69,26,0,2,12,5,0,101,26.2,15,2,7,0,20,5,5,0.83,3.27
465,13,松井　裕樹,楽天,1.79,39,1,3,24,6,0.25,151,40.1,16,3,14,1,68,9,8,0.74,1.76
82,14,千賀　滉大,ソフトバンク,1.93,14,8,2,0,0,0.8,401,98,71,7,40,2,128,22,21,1.13,2.72
124,15,一岡　竜司,広島,1.98,29,0,0,0,16,0,114,27.1,23,1,9,1,18,7,6,1.17,3.38
180,16,山口　俊,巨人,1.99,14,8,2,0,0,0.8,379,90.1,70,3,36,10,94,24,20,1.17,2.97
69,18,平井　克典,西武,2.03,39,2,1,0,17,0.667,190,44.1,37,0,22,4,40,10,10,1.33,2.94
358,19,宮西　尚生,日本ハム,2.05,31,1,1,0,25,0.5,102,26.1,19,0,5,2,28,7,6,0.91,1.79
226,20,髙橋　遥人,阪神,2.14,7,1,2,0,0,0.333,176,42,36,2,13,0,43,15,10,1.17,2.62
278,21,甲斐野　央,ソフトバンク,2.22,31,1,1,3,14,0.5,119,28.1,18,3,17,2,36,7,7,1.24,3.97
294,22,五十嵐　亮太,ヤクルト,2.25,29,5,0,0,2,1,125,28,23,1,16,1,20,9,7,1.39,3.98
83,23,今永　昇太,DeNA,2.27,14,8,3,0,0,0.727,394,99,68,13,33,2,109,26,25,1.02,3.53
190,23,森原　康平,楽天,2.27,32,1,0,0,10,1,125,31.2,20,2,10,0,30,9,8,0.95,2.99
258,25,有原　航平,日本ハム,2.4,13,8,4,0,0,0.667,348,90,64,9,17,4,91,26,24,0.9,3.1
105,26,濵口　遥大,DeNA,2.5,8,3,3,0,1,0.5,165,39.2,28,4,17,2,42,15,11,1.13,3.75
280,27,玉井　大翔,日本ハム,2.53,30,0,1,0,3,0,131,32,25,1,13,0,19,10,9,1.19,3.56
442,28,ハフ,ヤクルト,2.56,38,1,1,0,12,0.5,157,38.2,31,3,13,0,37,13,11,1.14,3.07
303,28,塩見　貴洋,楽天,2.56,6,3,0,0,0,1,147,38.2,31,5,7,0,37,11,11,0.98,3.43
126,30,大竹　耕太郎,ソフトバンク,2.65,13,5,2,0,0,0.714,353,88.1,81,8,14,3,56,28,26,1.08,3.57
101,31,チェン・グァンユウ,ロッテ,2.67,23,0,0,0,3,0,135,30.1,26,1,16,0,23,13,9,1.38,3.32
237,32,今村　信貴,巨人,2.7,9,1,1,0,0,0.5,184,43.1,44,4,14,4,27,15,13,1.34,4.25
93,33,榊原　翼,オリックス,2.72,12,3,4,0,0,0.429,314,76,60,5,35,2,56,26,23,1.25,3.96
155,34,フランスア,広島,2.75,36,5,3,2,15,0.625,168,39.1,30,4,16,5,54,14,12,1.17,3.07
64,35,西　勇輝,阪神,2.76,13,3,6,0,0,0.333,370,91.1,80,4,17,4,61,32,28,1.06,3.01
16,36,大瀬良　大地,広島,2.8,14,6,5,0,0,0.545,399,99.2,99,13,13,1,89,34,31,1.12,3.42
97,37,柳　裕也,中日,2.86,14,8,2,0,0,0.8,388,94.1,87,8,23,2,89,31,30,1.17,3.1
