_id,順位,選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS
3,1,西川　遥輝,日本ハム,0.288,60,284,243,70,2,18,10,38,1,51,2,2,0.387,0.399,0.786
58,2,大田　泰示,日本ハム,0.305,61,282,262,80,11,42,4,16,2,48,0,5,0.348,0.5,0.848
30,3,菊池　涼介,広島,0.277,61,279,242,67,4,27,6,21,1,38,13,1,0.335,0.38,0.715
21,3,秋山　翔吾,西武,0.328,59,279,241,79,11,26,7,37,0,43,0,5,0.416,0.527,0.943
15,5,山田　哲人,ヤクルト,0.281,61,278,210,59,15,38,16,62,3,51,0,7,0.446,0.562,1.008
6,6,茂木　栄五郎,楽天,0.306,59,277,242,74,6,27,4,32,1,45,2,4,0.389,0.475,0.864
33,7,大山　悠輔,阪神,0.265,62,276,257,68,9,39,2,14,3,40,0,3,0.308,0.436,0.744
40,8,浅村　栄斗,楽天,0.29,60,275,231,67,14,40,0,41,0,73,0,2,0.393,0.524,0.917
42,9,近本　光司,阪神,0.298,61,272,245,73,5,22,16,19,2,46,6,0,0.353,0.433,0.786
46,10,糸井　嘉男,阪神,0.288,61,268,226,65,4,23,5,38,2,47,0,4,0.392,0.398,0.79
65,10,近藤　健介,日本ハム,0.326,60,268,218,71,0,28,1,47,1,40,0,4,0.444,0.431,0.875
0,12,糸原　健斗,阪神,0.259,62,267,220,57,0,18,3,39,2,33,5,5,0.374,0.323,0.697
49,13,山川　穂高,西武,0.278,59,266,223,62,25,60,0,36,5,67,0,3,0.387,0.659,1.046
32,14,坂本　勇人,巨人,0.318,58,265,233,74,21,44,4,30,1,54,1,8,0.398,0.614,1.011
51,15,野間　峻祥,広島,0.269,61,264,242,65,1,11,10,15,3,40,3,2,0.318,0.343,0.661
11,15,源田　壮亮,西武,0.264,57,264,246,65,0,14,15,12,1,26,5,4,0.301,0.313,0.614
13,17,青木　宣親,ヤクルト,0.315,60,262,222,70,9,25,1,34,3,33,1,5,0.41,0.5,0.91
48,18,田中　広輔,広島,0.193,61,261,228,44,3,21,6,27,2,63,2,2,0.282,0.276,0.558
60,19,ウィーラー,楽天,0.258,59,259,233,60,11,38,0,16,5,50,0,13,0.313,0.442,0.755
45,20,丸　佳浩,巨人,0.31,58,258,216,67,9,30,5,37,2,47,0,7,0.411,0.5,0.911
9,21,大島　洋平,中日,0.3,59,256,227,68,0,17,16,22,3,32,2,1,0.366,0.37,0.736
22,22,岡本　和真,巨人,0.256,58,255,234,60,11,37,2,19,1,58,0,7,0.314,0.432,0.745
61,23,松田　宣浩,ソフトバンク,0.277,61,254,238,66,12,33,3,9,3,42,1,6,0.308,0.492,0.8
23,23,外崎　修汰,西武,0.249,59,254,213,53,12,40,14,26,2,55,9,4,0.331,0.469,0.8
10,23,金子　侑司,西武,0.208,58,254,221,46,0,12,23,29,1,49,1,0,0.3,0.235,0.536
53,26,中田　翔,日本ハム,0.252,60,252,214,54,14,43,0,34,3,38,0,8,0.361,0.486,0.847
43,26,鈴木　誠也,広島,0.333,58,252,198,66,17,46,12,48,4,39,0,1,0.468,0.636,1.105
27,28,吉田　正尚,オリックス,0.268,59,251,205,55,11,31,3,41,2,35,0,3,0.39,0.493,0.883
16,29,梅野　隆太郎,阪神,0.303,60,250,218,66,5,26,7,19,4,42,8,12,0.368,0.459,0.826
